id,longitude,latitude
249237063,77.2179809,28.6791426
9840724199,77.2187354,28.6789342
9803638857,77.2182435,28.6802572
249237069,77.2247308,28.6770077
913485898,77.2248518,28.6770128
11219541938,77.2244769,28.6771289
11219541940,77.2246382,28.6773359
427851267,77.2293448,28.6804796
2001957723,77.2293961,28.6797906
5819987955,77.2296101,28.6788056
427851283,77.2277559,28.6949104
9849632403,77.2277605,28.6947715
9849632388,77.2289858,28.6949592
458631519,77.2207561,28.6921192
913486983,77.2209191,28.6921749
913486719,77.2196431,28.693191
2939969356,77.218246,28.6880538
458631522,77.2212414,28.6892309
913486666,77.2213454,28.6892431
2508000047,77.2209805,28.6891677
2508000040,77.221229,28.689822
458631550,77.2223882,28.6818903
10304484336,77.222339,28.6822343
2945827918,77.222144,28.682212
496489163,77.2292984,28.6797001
2001957714,77.2292917,28.679812
2001957710,77.2288483,28.6798254
913486188,77.219194,28.6934993
944000689,77.2195737,28.6933794
944000609,77.2196263,28.693631
10279761051,77.2214532,28.6885899
944000592,77.2195158,28.6931955
6884878050,77.2197047,28.693334
913486877,77.2200953,28.6931646
10304484320,77.2197563,28.6936072
6636793043,77.220764,28.6924629
9889759138,77.2209565,28.6920867
6636793038,77.2212002,28.6922695
915432291,77.198616,28.681772
8987610245,77.1988089,28.6818986
915432325,77.1884424,28.6777516
9871861881,77.1887188,28.677833
1645501137,77.1885833,28.6776058
915432352,77.1922586,28.6902551
915432592,77.1921859,28.6903556
915432393,77.1986286,28.6813893
6726344597,77.1990695,28.6808445
918184193,77.1920083,28.6905987
915433142,77.1922676,28.6904712
915432604,77.1982452,28.6814358
1411154994,77.1978907,28.6812098
915432739,77.1964151,28.684525
915433495,77.1962929,28.6844526
2961579564,77.1969931,28.6849104
915436738,77.1966575,28.6840103
915432816,77.1947566,28.6952274
915436804,77.1946655,28.6952596
6195071609,77.194562,28.6943242
915432818,77.1981395,28.6814735
915434354,77.198191,28.6818195
915436734,77.198357,28.6816098
915432894,77.193266,28.6888345
11684987584,77.1937821,28.6880084
915433617,77.1931329,28.6887627
11684987583,77.1933726,28.6888912
915432903,77.1940783,28.6791751
11518859775,77.1937696,28.679155
915436742,77.1940353,28.6793911
6659816169,77.1926222,28.6910806
915436837,77.1923385,28.6903724
915433175,77.2028178,28.6844872
6725691953,77.2027793,28.684625
915433331,77.185525,28.698433
9703499917,77.1854415,28.6983835
915435189,77.1854358,28.6985406
915433400,77.1946752,28.6953354
915436681,77.1947691,28.6952976
2575647036,77.1952361,28.696759
9871608469,77.1960012,28.6848685
915433526,77.1984208,28.6816497
915436833,77.1984746,28.6815823
915433625,77.1954195,28.679569
915436792,77.1951612,28.6788858
915433915,77.1952511,28.6798198
1411138887,77.1958306,28.6800487
915433955,77.1984107,28.681542
915434110,77.1856365,28.6985064
2575648597,77.1859604,28.6981154
915434236,77.1961342,28.6849454
9871604768,77.1967151,28.685289
9181767905,77.197903,28.6821833
915436363,77.1855469,28.6986145
9868165811,77.185227,28.6987925
915435503,77.1982651,28.6818448
915436029,77.1986524,28.6816945
6660516302,77.1960465,28.6948413
915436689,77.1985589,28.6813547
6673221620,77.196779,28.6837511
6673221621,77.1970221,28.6842667
1411060942,77.1943553,28.6799199
915436755,77.1960058,28.6947661
9181729667,77.1954849,28.6949585
6726501862,77.195866,28.6945326
11518859786,77.1953392,28.6786505
915436829,77.1938435,28.6879101
3735775077,77.1937332,28.6878358
5725180835,77.1943701,28.6872736
6669747143,77.1924464,28.690222
916415087,77.1803901,28.6811232
916416149,77.1803558,28.6810676
916415264,77.1805405,28.6816175
916415523,77.1801642,28.6811763
916415089,77.1809163,28.6807208
916415925,77.1808649,28.6804632
916416041,77.1808065,28.6807533
10290779104,77.1824103,28.6804873
916415109,77.1860704,28.688727
918184205,77.185887,28.6886567
916415115,77.1865128,28.687802
916415831,77.1855205,28.6898766
916415666,77.1867345,28.6873385
918184352,77.1863402,28.6877403
916415122,77.1802799,28.6816628
916415539,77.1802306,28.6814007
916415145,77.1863348,28.6871884
916416047,77.1864383,28.6869807
916415620,77.1861022,28.6876552
916415984,77.1858586,28.6869755
916415206,77.1836169,28.680575
916415756,77.1832533,28.6809931
916415800,77.1825788,28.6801646
916415742,77.1847065,28.6809304
916415209,77.1850814,28.6897037
918184233,77.1853757,28.689113
918184617,77.1853223,28.6897986
916415340,77.1847188,28.6894224
916415221,77.1813016,28.6849502
916416238,77.1813617,28.6850217
916416116,77.1801567,28.6853796
916415262,77.1851386,28.6861878
916416187,77.1849746,28.6863552
916415483,77.184857,28.6859678
916415390,77.1854588,28.6864379
2967529058,77.1805604,28.6816845
916415335,77.185066,28.6870103
